"GRID_ID","M000","M005","M010","M015","M020","M025","M030","M035","M040","M045","M050","M055","M060","M065","M070","M075","M080","M085","M090","M095","M100","F000","F005","F010","F015","F020","F025","F030","F035","F040","F045","F050","F055","F060","F065","F070","F075","F080","F085","F090","F095","F100"
"J-11",6.191126618016,0,0,370.389180612024,653.689772450004,441.465763315396,123.752011089302,53.87830588023,28.799633805376,29.627820695684,12.57404564372,6.243737828744,3.362012677016,0,0,0,0,0,0,0,0,10.118962083232,0,0,98.516765118858,198.549517603978,111.590211253392,30.260526311572,21.532694750162,8.557278397246,6.020056092192,2.881725151728,0,0,2.40143762644,0,0,0,0,0,0,0
"J-12",394.200575731466,530.461366885531,623.849655992506,1106.3820884478,1579.21208345963,1462.05683526641,885.547411352145,839.608782959229,814.010900547912,1131.68953493375,1139.35841425023,1224.54161844838,1169.86415662825,597.621034940588,330.009430157346,195.265602211922,71.812132037762,17,0,0,0,354.239671947269,526.090114705263,544.377912524032,730.40717924496,943.384473107213,916.32530164989,733.093176987557,838.01485056271,849.497178060881,1228.16525558236,1346.11404756149,1444.05779849473,1096.42944186942,596.549214152566,411.716232004468,384.027865675492,299.232680486734,132.088509241183,32,5,0
"J-13",261.794163718149,304.526927318261,331.270704442501,555.498686820441,975.342442465669,1861.98692354316,1408.58832631802,1128.64539510846,890.994747004185,981.274384489355,957.391789794338,1010.90778431479,819.271030332722,458.880826822601,277.361508284508,155.068985520647,32.107412813253,8.562793374524,0,0,0,229.541769942948,266.127431561379,283.434403549877,494.919808627276,1234.47921425988,1553.1759345721,1047.62993387561,922.288327615311,759.949082719284,1042.2099631298,1091.87250003321,1058.86534483786,896.234264430302,519.105918307476,292.257052760049,227.047238539325,151.216847922965,53.395221282863,18.878606897981,6.121058327275,0
"J-14",315.677000202031,454.56412828021,419.485862112001,579.558981315294,521.419791652094,773.131267865176,649.933810902372,674.348668834057,658.203073105752,787.828142802127,760.907475157965,783.748399732176,804.241495316131,492.28367958096,310.934008954978,193.83970957949,31.7708120255416,7.6260192751992,0,0,0,273.95994496749,360.54699270417,421.255810102473,709.505806845542,622.183115596383,684.650491439619,527.131502920059,697.163149407583,690.118041659069,921.704038804898,822.570546182478,966.381954502363,870.979066499777,513.797362661087,276.683570004767,171.203780003271,151.289541885746,70.1647096124979,30.5029623684797,7.6699814454545,0
"J-15",135.244646064619,226.232382654189,246.598699905982,593.029568910527,779.457880571851,514.708293743962,336.483725517395,382.551534848582,376.659609834974,415.566965451211,472.159851961587,462.026597941955,467.4092082067,338.340577144558,244.118382600107,161.071161068612,60.360281120988,0.389272571452,0,0,0,130.256970160232,203.164993021162,243.34940959186,828.537122825125,786.215817111666,393.471874372348,250.625381555668,337.209798180171,353.19175737556,460.671490576029,476.56178185578,536.585276329154,554.350295167999,347.216617334099,283.077086932517,183.379850426413,78.8517371949399,18.9247069426628,5.2117851182088,0,0
"J-16",78.8646699849745,116.081992755874,135.929616159208,497.250760659384,713.008081087445,436.656516271032,282.437931425962,262.800728944691,299.841089029815,366.944607087262,339.765029549008,418.526089099808,394.673404382944,291.836748519133,191.496054811039,108.909729078861,45.126402231452,1.08228495257,0,0,0,41.3419716139055,68.1744395352785,112.443071853094,469.964288170159,719.847437610058,297.131818855938,164.799465117143,201.579731430666,235.184331722089,322.082928010085,387.831171317566,432.250056789844,445.609707385324,299.049378304756,184.011372668768,153.915440734714,85.0756787140485,23.8951981465685,1.948112914626,0,0
"J-17",283.846815666559,414.155141586998,418.678048762045,571.23411076781,519.92023964585,617.806171073185,465.303681509879,569.138846452049,613.116043409874,698.57602887954,750.737328197119,859.955356991208,753.689457495111,425.989021961335,288.463680652627,156.326269319503,55.9655376220622,3.917715005315,0,0,0,273.923492382048,378.259950321407,394.486211892614,649.483463155364,553.903654059921,511.133023346067,455.422384759304,590.395691215792,631.174184075769,739.976503220071,924.99930370214,964.460972653057,725.498857032141,471.982375144191,339.767381597129,220.980322742587,142.200689465317,46.040052230676,8.376990160507,0.66255157547,0
"J-18",8.5076323948421,8.64894233987815,6.22093475881185,11.9554050359791,12.2922296401621,15.4495060236333,7.74305346726945,12.2445021370415,15.616677177588,17.2884655943446,23.647060684771,21.9963024576535,26.2131279862522,11.6332354015297,8.253930444232,7.462601778492,6.616559263496,0,0,0,0,6.9784092405721,7.55466447230445,6.89173923319945,9.9054778180666,8.899994078405,10.0927181056999,9.8007773964041,11.2682719093259,13.087097047234,16.6085194375642,17.5414182264233,21.1674286835181,19.3944998048004,10.293517348958,13.79090264464,9.864405448496,16.041040582831,10.447358509653,6.385279529469,1.460805295965,0
"J-19",2.539848898096,6.032141132978,6.832439436176,9.206952255598,7.5335360921696,8.58518107616,4.9076765919552,5.7079748951532,9.6698932758852,8.2478237932492,13.1423093401184,10.4040571476136,13.869788086284,6.8257543106132,3.4856071093192,5.893187144476,4.457926616754,0,0,0,0,5.5955822028628,3.17481112262,4.127254459406,6.2636116431216,5.397178908454,5.6617166343324,4.140445504492,7.5136599215208,7.1829877641728,7.3813910585816,8.433036042572,14.4254248342524,10.0137564783192,6.2569265175588,8.2478237932492,5.575706032214,10.5562021812016,5.079697796192,3.17481112262,1.58740556131,0
"J-2",0,0,0.4793192799138,0.4793192799138,1.2249270486686,1.2781847464368,1.3847001419732,1.2249270486686,1.1716693509004,1.9172771196552,2.4498540973372,3.1422041683238,2.2368233062644,1.9705348174234,1.331442444205,1.1184116531322,0.4793192799138,0,0,0,0,0.4260615821456,0.3195461866092,0,0.3728038843774,0.7456077687548,0.9053808620594,0.6923500709866,0.9053808620594,0.6390923732184,1.0118962575958,1.7042463285824,2.3433387018008,2.0770502129598,1.7042463285824,1.2781847464368,1.597730933046,1.4379578397414,0.3195461866092,0,0,0
